vignette_id,run_id,model,d_i,n_voices_in_run
BANCO-001,7,meta-llama/llama-3.3-70b-instruct,0.1132713466,16
BANCO-001,7,qwen/qwen3.7-plus,0.0921807931,16
BANCO-001,7,x-ai/grok-4.3,0.1214548817,16
BANCO-001,7,google/gemini-3-flash-preview,0.0964146303,16
BANCO-001,7,anthropic/claude-haiku-4.5,0.0968981668,16
BANCO-001,7,google/gemma-4-26b-a4b-it,0.0922404565,16
BANCO-001,7,deepseek/deepseek-v4-flash,0.0921785158,16
BANCO-001,7,minimax/minimax-m3,0.1083758010,16
BANCO-001,7,z-ai/glm-5.2,0.1228130758,16
BANCO-001,7,deepseek/deepseek-v4-pro,0.0950681837,16
BANCO-001,7,google/gemma-4-31b-it,0.0924573323,16
BANCO-001,8,openai/gpt-4o,0.1142126669,15
BANCO-001,8,anthropic/claude-sonnet-4.5,0.0990868699,15
BANCO-001,8,mistralai/ministral-14b-2512,0.1373908792,15
BANCO-001,8,mistralai/mistral-large-2512,0.1049522017,15
BANCO-001,8,meta-llama/llama-3.3-70b-instruct,0.1290517555,15
BANCO-001,8,qwen/qwen3.7-plus,0.0923332719,15
BANCO-001,8,x-ai/grok-4.3,0.1066146485,15
BANCO-001,8,google/gemini-3-flash-preview,0.1001044465,15
BANCO-001,8,anthropic/claude-haiku-4.5,0.1060624842,15
BANCO-001,8,google/gemma-4-26b-a4b-it,0.0886936229,15
BANCO-001,8,deepseek/deepseek-v4-flash,0.0858810435,15
BANCO-001,8,minimax/minimax-m3,0.1161031189,15
BANCO-001,8,z-ai/glm-5.2,0.0974101450,15
BANCO-001,8,deepseek/deepseek-v4-pro,0.0926077802,15
BANCO-001,8,google/gemma-4-31b-it,0.0955673078,15
BANCO-001,9,openai/gpt-4o,0.1255867906,16
BANCO-001,9,anthropic/claude-sonnet-4.5,0.1011833961,16
BANCO-001,9,google/gemini-2.5-flash,0.0832923038,16
BANCO-001,9,mistralai/ministral-14b-2512,0.1079256267,16
BANCO-001,9,mistralai/mistral-large-2512,0.1074836950,16
BANCO-001,9,meta-llama/llama-3.3-70b-instruct,0.1187288444,16
BANCO-001,9,qwen/qwen3.7-plus,0.0836802260,16
BANCO-001,9,x-ai/grok-4.3,0.0927677979,16
BANCO-001,9,google/gemini-3-flash-preview,0.1017016078,16
BANCO-001,9,anthropic/claude-haiku-4.5,0.0935631640,16
BANCO-001,9,google/gemma-4-26b-a4b-it,0.0843092678,16
BANCO-001,9,deepseek/deepseek-v4-flash,0.0856083572,16
BANCO-001,9,minimax/minimax-m3,0.1121081758,16
BANCO-001,9,z-ai/glm-5.2,0.0865988720,16
BANCO-001,9,deepseek/deepseek-v4-pro,0.1095476738,16
BANCO-001,9,google/gemma-4-31b-it,0.0877779068,16
BANCO-001,10,openai/gpt-4o,0.1460913559,16
BANCO-001,10,anthropic/claude-sonnet-4.5,0.0953338550,16
BANCO-001,10,google/gemini-2.5-flash,0.0946008826,16
BANCO-001,10,mistralai/ministral-14b-2512,0.1145740987,16
BANCO-001,10,mistralai/mistral-large-2512,0.1203355439,16
BANCO-001,10,meta-llama/llama-3.3-70b-instruct,0.1225688792,16
BANCO-001,10,qwen/qwen3.7-plus,0.0847701205,16
BANCO-001,10,x-ai/grok-4.3,0.1223838256,16
BANCO-001,10,google/gemini-3-flash-preview,0.0888104922,16
BANCO-001,10,anthropic/claude-haiku-4.5,0.0958711148,16
BANCO-001,10,google/gemma-4-26b-a4b-it,0.0879306684,16
BANCO-001,10,deepseek/deepseek-v4-flash,0.0885920199,16
BANCO-001,10,minimax/minimax-m3,0.1032469368,16
BANCO-001,10,z-ai/glm-5.2,0.1140366294,16
BANCO-001,10,deepseek/deepseek-v4-pro,0.0949998492,16
BANCO-001,10,google/gemma-4-31b-it,0.0958902430,16
BANCO-001,11,openai/gpt-4o,0.1154505258,16
BANCO-001,11,anthropic/claude-sonnet-4.5,0.1100567905,16
BANCO-001,11,google/gemini-2.5-flash,0.1059606599,16
BANCO-001,11,mistralai/ministral-14b-2512,0.1158886339,16
BANCO-001,11,mistralai/mistral-large-2512,0.1282410191,16
BANCO-001,11,meta-llama/llama-3.3-70b-instruct,0.1094823016,16
BANCO-001,11,qwen/qwen3.7-plus,0.0932803697,16
BANCO-001,11,x-ai/grok-4.3,0.1308691421,16
BANCO-001,11,google/gemini-3-flash-preview,0.0943310061,16
BANCO-001,11,anthropic/claude-haiku-4.5,0.0903960234,16
BANCO-001,11,google/gemma-4-26b-a4b-it,0.0799373246,16
BANCO-001,11,deepseek/deepseek-v4-flash,0.0850326268,16
BANCO-001,11,minimax/minimax-m3,0.0980327912,16
BANCO-001,11,z-ai/glm-5.2,0.0980859063,16
BANCO-001,11,deepseek/deepseek-v4-pro,0.0981425604,16
BANCO-001,11,google/gemma-4-31b-it,0.0906709778,16
BANCO-001,12,openai/gpt-4o,0.1289301052,16
BANCO-001,12,anthropic/claude-sonnet-4.5,0.1034567970,16
BANCO-001,12,google/gemini-2.5-flash,0.0905237521,16
BANCO-001,12,mistralai/ministral-14b-2512,0.1127005209,16
BANCO-001,12,mistralai/mistral-large-2512,0.1379415659,16
BANCO-001,12,meta-llama/llama-3.3-70b-instruct,0.1237550109,16
BANCO-001,12,qwen/qwen3.7-plus,0.0903255666,16
BANCO-001,12,x-ai/grok-4.3,0.1030417753,16
BANCO-001,12,google/gemini-3-flash-preview,0.0891038954,16
BANCO-001,12,anthropic/claude-haiku-4.5,0.1097408143,16
BANCO-001,12,google/gemma-4-26b-a4b-it,0.0921182274,16
BANCO-001,12,deepseek/deepseek-v4-flash,0.0868080324,16
BANCO-001,12,minimax/minimax-m3,0.1040991607,16
BANCO-001,12,z-ai/glm-5.2,0.1015901194,16
BANCO-001,12,deepseek/deepseek-v4-pro,0.0928676677,16
BANCO-001,12,google/gemma-4-31b-it,0.0930003322,16
BANCO-001,13,openai/gpt-4o,0.1098134642,16
BANCO-001,13,anthropic/claude-sonnet-4.5,0.1002477710,16
BANCO-001,13,google/gemini-2.5-flash,0.0995657799,16
BANCO-001,13,mistralai/ministral-14b-2512,0.1171812552,16
BANCO-001,13,mistralai/mistral-large-2512,0.1359202195,16
BANCO-001,13,meta-llama/llama-3.3-70b-instruct,0.1215303704,16
BANCO-001,13,qwen/qwen3.7-plus,0.0984049947,16
BANCO-001,13,x-ai/grok-4.3,0.1162966275,16
BANCO-001,13,google/gemini-3-flash-preview,0.1144848725,16
BANCO-001,13,anthropic/claude-haiku-4.5,0.1027505682,16
BANCO-001,13,google/gemma-4-26b-a4b-it,0.0928635612,16
BANCO-001,13,deepseek/deepseek-v4-flash,0.0903919860,16
BANCO-001,13,minimax/minimax-m3,0.1087666023,16
BANCO-001,13,z-ai/glm-5.2,0.1059829278,16
BANCO-001,13,deepseek/deepseek-v4-pro,0.0954438279,16
BANCO-001,13,google/gemma-4-31b-it,0.1113876020,16
BANCO-001,14,openai/gpt-4o,0.1206473849,15
BANCO-001,14,anthropic/claude-sonnet-4.5,0.0965357220,15
BANCO-001,14,mistralai/ministral-14b-2512,0.1422946233,15
BANCO-001,14,mistralai/mistral-large-2512,0.1274635842,15
BANCO-001,14,meta-llama/llama-3.3-70b-instruct,0.1251437938,15
BANCO-001,14,qwen/qwen3.7-plus,0.0985309733,15
BANCO-001,14,x-ai/grok-4.3,0.1099566500,15
BANCO-001,14,google/gemini-3-flash-preview,0.0982183479,15
BANCO-001,14,anthropic/claude-haiku-4.5,0.1196260078,15
BANCO-001,14,google/gemma-4-26b-a4b-it,0.0883791108,15
BANCO-001,14,deepseek/deepseek-v4-flash,0.1140602595,15
BANCO-001,14,minimax/minimax-m3,0.1221861443,15
BANCO-001,14,z-ai/glm-5.2,0.1034294457,15
BANCO-001,14,deepseek/deepseek-v4-pro,0.0986978930,15
BANCO-001,14,google/gemma-4-31b-it,0.0941370325,15
BANCO-001,15,openai/gpt-4o,0.1276154748,16
BANCO-001,15,anthropic/claude-sonnet-4.5,0.1081436075,16
BANCO-001,15,google/gemini-2.5-flash,0.1026351082,16
BANCO-001,15,mistralai/ministral-14b-2512,0.1268401794,16
BANCO-001,15,mistralai/mistral-large-2512,0.1060920981,16
BANCO-001,15,meta-llama/llama-3.3-70b-instruct,0.1144469938,16
BANCO-001,15,qwen/qwen3.7-plus,0.0991039305,16
BANCO-001,15,x-ai/grok-4.3,0.1190816336,16
BANCO-001,15,google/gemini-3-flash-preview,0.1082089238,16
BANCO-001,15,anthropic/claude-haiku-4.5,0.1102812492,16
BANCO-001,15,google/gemma-4-26b-a4b-it,0.0954141818,16
BANCO-001,15,deepseek/deepseek-v4-flash,0.1101423678,16
BANCO-001,15,minimax/minimax-m3,0.1168325907,16
BANCO-001,15,z-ai/glm-5.2,0.1145613202,16
BANCO-001,15,deepseek/deepseek-v4-pro,0.1022981522,16
BANCO-001,15,google/gemma-4-31b-it,0.1048276247,16
BANCO-001,16,openai/gpt-4o,0.1580526404,16
BANCO-001,16,anthropic/claude-sonnet-4.5,0.1050115513,16
BANCO-001,16,google/gemini-2.5-flash,0.0945559667,16
BANCO-001,16,mistralai/ministral-14b-2512,0.1417648911,16
BANCO-001,16,mistralai/mistral-large-2512,0.1265095852,16
BANCO-001,16,meta-llama/llama-3.3-70b-instruct,0.1209749384,16
BANCO-001,16,qwen/qwen3.7-plus,0.0928634654,16
BANCO-001,16,x-ai/grok-4.3,0.1140835473,16
BANCO-001,16,google/gemini-3-flash-preview,0.1077692893,16
BANCO-001,16,anthropic/claude-haiku-4.5,0.1154578142,16
BANCO-001,16,google/gemma-4-26b-a4b-it,0.0996565947,16
BANCO-001,16,deepseek/deepseek-v4-flash,0.0888335513,16
BANCO-001,16,minimax/minimax-m3,0.0944963481,16
BANCO-001,16,z-ai/glm-5.2,0.1102145823,16
BANCO-001,16,deepseek/deepseek-v4-pro,0.0971392678,16
BANCO-001,16,google/gemma-4-31b-it,0.0969024176,16
BANCO-001,17,openai/gpt-4o,0.1324855843,16
BANCO-001,17,anthropic/claude-sonnet-4.5,0.1078864409,16
BANCO-001,17,google/gemini-2.5-flash,0.0994437720,16
BANCO-001,17,mistralai/ministral-14b-2512,0.1075816306,16
BANCO-001,17,mistralai/mistral-large-2512,0.1069030788,16
BANCO-001,17,meta-llama/llama-3.3-70b-instruct,0.1118347906,16
BANCO-001,17,qwen/qwen3.7-plus,0.1047342792,16
BANCO-001,17,x-ai/grok-4.3,0.1091271035,16
BANCO-001,17,google/gemini-3-flash-preview,0.1121197256,16
BANCO-001,17,anthropic/claude-haiku-4.5,0.1027220498,16
BANCO-001,17,google/gemma-4-26b-a4b-it,0.0944024959,16
BANCO-001,17,deepseek/deepseek-v4-flash,0.1269916181,16
BANCO-001,17,minimax/minimax-m3,0.1108418936,16
BANCO-001,17,z-ai/glm-5.2,0.1043340354,16
BANCO-001,17,deepseek/deepseek-v4-pro,0.0928146791,16
BANCO-001,17,google/gemma-4-31b-it,0.1022319174,16
BANCO-001,18,openai/gpt-4o,0.1208394031,16
BANCO-001,18,anthropic/claude-sonnet-4.5,0.0999823140,16
BANCO-001,18,google/gemini-2.5-flash,0.0936037462,16
BANCO-001,18,mistralai/ministral-14b-2512,0.1306499001,16
BANCO-001,18,mistralai/mistral-large-2512,0.1359358705,16
BANCO-001,18,meta-llama/llama-3.3-70b-instruct,0.1229834225,16
BANCO-001,18,qwen/qwen3.7-plus,0.0944956763,16
BANCO-001,18,x-ai/grok-4.3,0.1270921015,16
BANCO-001,18,google/gemini-3-flash-preview,0.0815861116,16
BANCO-001,18,anthropic/claude-haiku-4.5,0.1069046488,16
BANCO-001,18,google/gemma-4-26b-a4b-it,0.0971477409,16
BANCO-001,18,deepseek/deepseek-v4-flash,0.0828022552,16
BANCO-001,18,minimax/minimax-m3,0.0961938412,16
BANCO-001,18,z-ai/glm-5.2,0.0929561366,16
BANCO-001,18,deepseek/deepseek-v4-pro,0.1334501662,16
BANCO-001,18,google/gemma-4-31b-it,0.0802906687,16
BANCO-001,19,openai/gpt-4o,0.1084104842,16
BANCO-001,19,anthropic/claude-sonnet-4.5,0.0953808827,16
BANCO-001,19,google/gemini-2.5-flash,0.0931481332,16
BANCO-001,19,mistralai/ministral-14b-2512,0.1115715030,16
BANCO-001,19,mistralai/mistral-large-2512,0.1146091739,16
BANCO-001,19,meta-llama/llama-3.3-70b-instruct,0.1213926966,16
BANCO-001,19,qwen/qwen3.7-plus,0.0963962530,16
BANCO-001,19,x-ai/grok-4.3,0.1005250732,16
BANCO-001,19,google/gemini-3-flash-preview,0.0826142345,16
BANCO-001,19,anthropic/claude-haiku-4.5,0.1015360562,16
BANCO-001,19,google/gemma-4-26b-a4b-it,0.0850328590,16
BANCO-001,19,deepseek/deepseek-v4-flash,0.0844400708,16
BANCO-001,19,minimax/minimax-m3,0.0894054397,16
BANCO-001,19,z-ai/glm-5.2,0.1156736851,16
BANCO-001,19,deepseek/deepseek-v4-pro,0.0991696536,16
BANCO-001,19,google/gemma-4-31b-it,0.0894376914,16
BANCO-001,20,openai/gpt-4o,0.1162816431,16
BANCO-001,20,anthropic/claude-sonnet-4.5,0.0963240186,16
BANCO-001,20,google/gemini-2.5-flash,0.0922756768,16
BANCO-001,20,mistralai/ministral-14b-2512,0.1242499259,16
BANCO-001,20,mistralai/mistral-large-2512,0.1161552393,16
BANCO-001,20,meta-llama/llama-3.3-70b-instruct,0.1150522404,16
BANCO-001,20,qwen/qwen3.7-plus,0.0856690757,16
BANCO-001,20,x-ai/grok-4.3,0.1336449803,16
BANCO-001,20,google/gemini-3-flash-preview,0.0812705231,16
BANCO-001,20,anthropic/claude-haiku-4.5,0.0906036564,16
BANCO-001,20,google/gemma-4-26b-a4b-it,0.0835905386,16
BANCO-001,20,deepseek/deepseek-v4-flash,0.0884937781,16
BANCO-001,20,minimax/minimax-m3,0.1129552290,16
BANCO-001,20,z-ai/glm-5.2,0.0830672140,16
BANCO-001,20,deepseek/deepseek-v4-pro,0.1075354658,16
BANCO-001,20,google/gemma-4-31b-it,0.0973589134,16
BANCO-001,21,openai/gpt-4o,0.1205522180,16
BANCO-001,21,anthropic/claude-sonnet-4.5,0.0993637916,16
BANCO-001,21,google/gemini-2.5-flash,0.1023912128,16
BANCO-001,21,mistralai/ministral-14b-2512,0.1508395316,16
BANCO-001,21,mistralai/mistral-large-2512,0.1205049171,16
BANCO-001,21,meta-llama/llama-3.3-70b-instruct,0.1185766915,16
BANCO-001,21,qwen/qwen3.7-plus,0.0896299964,16
BANCO-001,21,x-ai/grok-4.3,0.1213978959,16
BANCO-001,21,google/gemini-3-flash-preview,0.0992472170,16
BANCO-001,21,anthropic/claude-haiku-4.5,0.0950576480,16
BANCO-001,21,google/gemma-4-26b-a4b-it,0.0932217906,16
BANCO-001,21,deepseek/deepseek-v4-flash,0.0898812600,16
BANCO-001,21,minimax/minimax-m3,0.1036047377,16
BANCO-001,21,z-ai/glm-5.2,0.0966117658,16
BANCO-001,21,deepseek/deepseek-v4-pro,0.1081497690,16
BANCO-001,21,google/gemma-4-31b-it,0.0969021952,16
BANCO-001,22,openai/gpt-4o,0.1178539300,16
BANCO-001,22,anthropic/claude-sonnet-4.5,0.0988892397,16
BANCO-001,22,google/gemini-2.5-flash,0.0955656406,16
BANCO-001,22,mistralai/ministral-14b-2512,0.1282961762,16
BANCO-001,22,mistralai/mistral-large-2512,0.1082686928,16
BANCO-001,22,meta-llama/llama-3.3-70b-instruct,0.1365039841,16
BANCO-001,22,qwen/qwen3.7-plus,0.0859453159,16
BANCO-001,22,x-ai/grok-4.3,0.1340823684,16
BANCO-001,22,google/gemini-3-flash-preview,0.0969060497,16
BANCO-001,22,anthropic/claude-haiku-4.5,0.1147751510,16
BANCO-001,22,google/gemma-4-26b-a4b-it,0.1009757231,16
BANCO-001,22,deepseek/deepseek-v4-flash,0.1158662268,16
BANCO-001,22,minimax/minimax-m3,0.1107400356,16
BANCO-001,22,z-ai/glm-5.2,0.1066005006,16
BANCO-001,22,deepseek/deepseek-v4-pro,0.1000099156,16
BANCO-001,22,google/gemma-4-31b-it,0.1054169798,16
BANCO-001,23,openai/gpt-4o,0.1228029493,16
BANCO-001,23,anthropic/claude-sonnet-4.5,0.0974054204,16
BANCO-001,23,google/gemini-2.5-flash,0.0952232989,16
BANCO-001,23,mistralai/ministral-14b-2512,0.1406480140,16
BANCO-001,23,mistralai/mistral-large-2512,0.1269318152,16
BANCO-001,23,meta-llama/llama-3.3-70b-instruct,0.1174611374,16
BANCO-001,23,qwen/qwen3.7-plus,0.1040301489,16
BANCO-001,23,x-ai/grok-4.3,0.1172969280,16
BANCO-001,23,google/gemini-3-flash-preview,0.0821681863,16
BANCO-001,23,anthropic/claude-haiku-4.5,0.0879150616,16
BANCO-001,23,google/gemma-4-26b-a4b-it,0.0832458309,16
BANCO-001,23,deepseek/deepseek-v4-flash,0.0891180641,16
BANCO-001,23,minimax/minimax-m3,0.0971569543,16
BANCO-001,23,z-ai/glm-5.2,0.1038366940,16
BANCO-001,23,deepseek/deepseek-v4-pro,0.0978214973,16
BANCO-001,23,google/gemma-4-31b-it,0.0890462277,16
BANCO-001,24,openai/gpt-4o,0.1271517419,15
BANCO-001,24,anthropic/claude-sonnet-4.5,0.1014230666,15
BANCO-001,24,google/gemini-2.5-flash,0.0931397507,15
BANCO-001,24,mistralai/ministral-14b-2512,0.1092782872,15
BANCO-001,24,mistralai/mistral-large-2512,0.0999169986,15
BANCO-001,24,meta-llama/llama-3.3-70b-instruct,0.1151664804,15
BANCO-001,24,qwen/qwen3.7-plus,0.0930306249,15
BANCO-001,24,x-ai/grok-4.3,0.1127262370,15
BANCO-001,24,google/gemini-3-flash-preview,0.0925357337,15
BANCO-001,24,anthropic/claude-haiku-4.5,0.1102779852,15
BANCO-001,24,google/gemma-4-26b-a4b-it,0.0939207972,15
BANCO-001,24,deepseek/deepseek-v4-flash,0.1053937655,15
BANCO-001,24,minimax/minimax-m3,0.0958935789,15
BANCO-001,24,z-ai/glm-5.2,0.1066965621,15
BANCO-001,24,deepseek/deepseek-v4-pro,0.1062252862,15
BANCO-001,25,openai/gpt-4o,0.1259411718,15
BANCO-001,25,anthropic/claude-sonnet-4.5,0.1230277799,15
BANCO-001,25,mistralai/ministral-14b-2512,0.1587355469,15
BANCO-001,25,mistralai/mistral-large-2512,0.1279319159,15
BANCO-001,25,meta-llama/llama-3.3-70b-instruct,0.1343338731,15
BANCO-001,25,qwen/qwen3.7-plus,0.1118044069,15
BANCO-001,25,x-ai/grok-4.3,0.1372963111,15
BANCO-001,25,google/gemini-3-flash-preview,0.1195202464,15
BANCO-001,25,anthropic/claude-haiku-4.5,0.1148168206,15
BANCO-001,25,google/gemma-4-26b-a4b-it,0.0990502856,15
BANCO-001,25,deepseek/deepseek-v4-flash,0.1267434680,15
BANCO-001,25,minimax/minimax-m3,0.1061982080,15
BANCO-001,25,z-ai/glm-5.2,0.1234938915,15
BANCO-001,25,deepseek/deepseek-v4-pro,0.1139557473,15
BANCO-001,25,google/gemma-4-31b-it,0.1093790774,15
BANCO-001,26,openai/gpt-4o,0.1441292106,15
BANCO-001,26,anthropic/claude-sonnet-4.5,0.0973340414,15
BANCO-001,26,mistralai/ministral-14b-2512,0.1029430395,15
BANCO-001,26,mistralai/mistral-large-2512,0.1169897879,15
BANCO-001,26,meta-llama/llama-3.3-70b-instruct,0.1201992496,15
BANCO-001,26,qwen/qwen3.7-plus,0.0974769729,15
BANCO-001,26,x-ai/grok-4.3,0.1023539028,15
BANCO-001,26,google/gemini-3-flash-preview,0.0980129688,15
BANCO-001,26,anthropic/claude-haiku-4.5,0.1122654696,15
BANCO-001,26,google/gemma-4-26b-a4b-it,0.0975008863,15
BANCO-001,26,deepseek/deepseek-v4-flash,0.0809332659,15
BANCO-001,26,minimax/minimax-m3,0.0923536837,15
BANCO-001,26,z-ai/glm-5.2,0.0941259539,15
BANCO-001,26,deepseek/deepseek-v4-pro,0.0951019821,15
BANCO-001,26,google/gemma-4-31b-it,0.0825639701,15
BANCO-001,27,openai/gpt-4o,0.1261698610,16
BANCO-001,27,anthropic/claude-sonnet-4.5,0.1016837823,16
BANCO-001,27,google/gemini-2.5-flash,0.0995027944,16
BANCO-001,27,mistralai/ministral-14b-2512,0.1276239936,16
BANCO-001,27,mistralai/mistral-large-2512,0.1037615254,16
BANCO-001,27,meta-llama/llama-3.3-70b-instruct,0.1177468139,16
BANCO-001,27,qwen/qwen3.7-plus,0.0919033156,16
BANCO-001,27,x-ai/grok-4.3,0.1192334765,16
BANCO-001,27,google/gemini-3-flash-preview,0.1046355853,16
BANCO-001,27,anthropic/claude-haiku-4.5,0.1174519729,16
BANCO-001,27,google/gemma-4-26b-a4b-it,0.1019254180,16
BANCO-001,27,deepseek/deepseek-v4-flash,0.0994228606,16
BANCO-001,27,minimax/minimax-m3,0.1238887943,16
BANCO-001,27,z-ai/glm-5.2,0.0958515870,16
BANCO-001,27,deepseek/deepseek-v4-pro,0.0985581905,16
BANCO-001,27,google/gemma-4-31b-it,0.1032355797,16
BANCO-001,28,openai/gpt-4o,0.1234381236,16
BANCO-001,28,anthropic/claude-sonnet-4.5,0.0986410512,16
BANCO-001,28,google/gemini-2.5-flash,0.0979033781,16
BANCO-001,28,mistralai/ministral-14b-2512,0.1409117142,16
BANCO-001,28,mistralai/mistral-large-2512,0.1247186201,16
BANCO-001,28,meta-llama/llama-3.3-70b-instruct,0.1242857527,16
